
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2016-0409-064026-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.7 KB	4.0 KB	09/04/2016	09/04/2016	.log (Notepad++ Document)	Guest
2016-0410-013821-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	39.1 KB	40.0 KB	10/04/2016	10/04/2016	.log (Notepad++ Document)	MATT 01
2016-0410-022304-4-ASUS-GL522VW-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.7 KB	4.0 KB	10/04/2016	10/04/2016	.log (Notepad++ Document)	MATT 01
2016-0410-024801-4-ASUS-GL522VW-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	505.1 KB	508.0 KB	10/04/2016	10/04/2016	.log (Notepad++ Document)	MATT 01
2016-0410-064926-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	21.2 KB	24.0 KB	10/04/2016	10/04/2016	.log (Notepad++ Document)	Guest
2016-0411-100222-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	7.2 KB	8.0 KB	11/04/2016	11/04/2016	.log (Notepad++ Document)	MATT 01
2016-0411-121106-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.6 KB	4.0 KB	11/04/2016	11/04/2016	.log (Notepad++ Document)	Guest
2016-0412-122049-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.8 KB	4.0 KB	12/04/2016	12/04/2016	.log (Notepad++ Document)	Guest
2016-0413-185622-4-ASUS-GL522VW-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	7.2 KB	8.0 KB	13/04/2016	13/04/2016	.log (Notepad++ Document)	MATT 01
2016-0414-190021-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	14.6 KB	16.0 KB	14/04/2016	14/04/2016	.log (Notepad++ Document)	MATT 01
2016-0418-034631-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	4.8 KB	8.0 KB	18/04/2016	18/04/2016	.log (Notepad++ Document)	MATT 01
2016-0423-050653-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	3.0 KB	4.0 KB	23/04/2016	23/04/2016	.log (Notepad++ Document)	MATT 01
2016-0424-061159-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.9 KB	4.0 KB	24/04/2016	24/04/2016	.log (Notepad++ Document)	MATT 01
2016-0425-065937-4-ASUS-GL522VW-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	255.5 KB	256.0 KB	25/04/2016	25/04/2016	.log (Notepad++ Document)	MATT 01
